BusinessEntityID;Samaccountname;FirstName;MiddleName;LastName;Initials;Department;Division;Position;Manager;EmailDomain
1;kensanc;Ken;J;Sánchez;KJS;Executive;Executive General and Administration;Chief Executive Officer;
2;terrduff;Terri;Lee;Duffy;TLD;Engineering;Research and Development;Vice President of Engineering;kensanc
3;robetamb;Roberto;;Tamburello;RT;Engineering;Research and Development;Engineering Manager;terrduff
4;robwalt;Rob;;Walters;RW;Tool Design;Research and Development;Senior Tool Designer;robetamb
5;gaileric;Gail;A;Erickson;GAE;Engineering;Research and Development;Design Engineer;robetamb
6;jossgold;Jossef;H;Goldberg;JHG;Engineering;Research and Development;Design Engineer;robetamb
7;dylamill;Dylan;A;Miller;DAM;Research and Development;Research and Development;Research and Development Manager;robetamb
8;dianmarg;Diane;L;Margheim;DLM;Research and Development;Research and Development;Research and Development Engineer;dylamill
9;gigimatt;Gigi;N;Matthew;GNM;Research and Development;Research and Development;Research and Development Engineer;dylamill
10;michrahe;Michael;;Raheem;MR;Research and Development;Research and Development;Research and Development Manager;dylamill
11;ovidcrac;Ovidiu;V;Cracium;OVC;Tool Design;Research and Development;Senior Tool Designer;robetamb
12;thiedher;Thierry;B;D'Hers;TBD;Tool Design;Research and Development;Tool Designer;ovidcrac
13;janigalv;Janice;M;Galvin;JMG;Tool Design;Research and Development;Tool Designer;ovidcrac
14;michsull;Michael;I;Sullivan;MIS;Engineering;Research and Development;Senior Design Engineer;robetamb
15;sharsala;Sharon;B;Salavaria;SBS;Engineering;Research and Development;Design Engineer;robetamb
16;davibrad;David;M;Bradley;DMB;Marketing;Sales and Marketing;Marketing Manager;kensanc
17;kevibrow;Kevin;F;Brown;KFB;Marketing;Sales and Marketing;Marketing Assistant;davibrad
18;johnwood;John;L;Wood;JLW;Marketing;Sales and Marketing;Marketing Specialist;davibrad
19;marydemp;Mary;A;Dempsey;MAD;Marketing;Sales and Marketing;Marketing Assistant;davibrad
20;wanibens;Wanida;M;Benshoof;WMB;Marketing;Sales and Marketing;Marketing Assistant;davibrad
21;terremin;Terry;J;Eminhizer;TJE;Marketing;Sales and Marketing;Marketing Specialist;davibrad
22;sariharn;Sariya;E;Harnpadoungsataya;SEH;Marketing;Sales and Marketing;Marketing Specialist;davibrad
23;marygibs;Mary;E;Gibson;MEG;Marketing;Sales and Marketing;Marketing Specialist;davibrad
24;jillwill;Jill;A;Williams;JAW;Marketing;Sales and Marketing;Marketing Specialist;davibrad
25;jamehami;James;R;Hamilton;JRH;Production;Manufacturing;Vice President of Production;kensanc
26;petekreb;Peter;J;Krebs;PJK;Production Control;Manufacturing;Production Control Manager;jamehami
27;jobrow;Jo;A;Brown;JAB;Production;Manufacturing;Production Supervisor - WC60;petekreb
28;guygilb;Guy;R;Gilbert;GRG;Production;Manufacturing;Production Technician - WC60;jobrow
